高清直播,#genre#
CETV-4,http://hdtv.lzu6.edu.cn/hls/cetv4.m3u8
CHC高清电影,http://hdtv.lzu6.edu.cn/hls/chchd.m3u8
CHC动作电影,http://hdtv.lzu6.edu.cn/hls/hls261.m3u8
CHC家庭影院,http://hdtv.lzu6.edu.cn/hls/hls259.m3u8
动漫秀场,http://hdtv.lzu6.edu.cn/hls/hls184a636.m3u8
金鹰卡通,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227018/index.m3u8
卡酷少儿,http://hdtv.lzu6.edu.cn/hls/btv10.m3u8
嘉佳卡通,http://39.135.138.59:18890/PLTV/88888910/224/3221226193/index.m3u8
哈哈炫动,http://hdtv.lzu6.edu.cn/hls/hls103.m3u8
优漫卡通,http://hdtv.lzu6.edu.cn/hls/hls159.m3u8
电视直播,#genre#
CCTV-1综合,http://39.135.138.6:6610/PLTV/88888888/224/3221225501/2/1000.m3u8
CCTV-1综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1综合,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226226/1.m3u8
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2财经,http://39.135.138.6:6610/PLTV/88888888/224/3221225500/2/1000.m3u8
CCTV-2财经,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2财经,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226230/1.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226024/index.m3u8
CCTV-3综艺,http://39.135.138.6:6610/PLTV/88888888/224/3221225634/2/1000.m3u8
CCTV-3综艺,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3综艺,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226471/1.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4中文国际,http://39.135.138.6:6610/PLTV/88888888/224/3221225621/2/1000.m3u8
CCTV-4中文国际,http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8
